CrimeDataExport_2_view_8487712380991318488
OBJECTID,Report Number,OffID,Report Date,Offense Start Date,Offense End Date,Day of the week,Day Number,Zone,Beat,Location,Location Type,NIBRS Code,NIBRS Code Name,Crime Against,Was a firearm involved?,Press Release,Social Media,Watch,Longitude,Latitude,Neighborhood,NPU,Council District,UCR Grouping,Victim Count,GlobalID,CAD ID,Report ID,x,y
122146,231521993,50871517406,6/2/2023 4:03:06 AM,5/19/2023 4:00:00 AM,6/1/2023 4:00:00 AM,Friday,6,2,206,350 PEACHTREE AVE NE,Residence/ Home / Apartment / Condo,26F,Identity Theft,PROPERTY,N,,,Morning Watch,-84.37618,33.835239,Garden Hills,B,7,Part II,,714bf875-a2c6-45dc-9b15-4987d87e13b0,,,-84.37618,33.8352390000001
122127,231522056,50869975133,6/2/2023 4:07:42 AM,6/2/2023 2:12:00 AM,6/2/2023 3:59:00 AM,Thursday,5,6,613,1845 PIEDMONT AVE NE,Highway/ Road/ Alley/ Street/ Sidewalk,13B,Simple Assault,PERSON,N,,,Evening Watch,-84.366262,33.806222,Morningside/Lenox Park,F,6,Part II,1,c637ab35-5652-4e00-b7d0-e823561f5647,,,-84.3662619999999,33.806222
122130,231521964,50870077488,6/2/2023 4:28:01 AM,6/1/2023 2:30:00 PM,6/1/2023 3:00:00 PM,Thursday,5,6,603,509 WABASH AVE NE,Residence/ Home / Apartment / Condo,220,Burglary/Breaking & Entering,PROPERTY,N,,,Day Watch,-84.370647,33.764609,Old Fourth Ward,M,2,Part I,,4e626840-8156-4b37-a725-611466452d31,,,-84.370647,33.7646090000001
122129,231521929,50870114605,6/2/2023 4:29:00 AM,6/2/2023 12:32:00 AM,6/2/2023 4:29:00 AM,Thursday,5,4,407,3711 BENJAMIN E MAYS DR SW,Other/Unknown,23F,Theft From Motor Vehicle,PROPERTY,N,,,Evening Watch,-84.508554,33.740869,Fairburn Mays,H,10,Part I,,9a0c2338-90bd-4076-be5b-f9135c5b63b5,,,-84.5085539999999,33.740869
122153,231521989,50873572514,6/2/2023 4:33:31 AM,6/2/2023 1:13:00 AM,6/3/2023 2:56:00 AM,Thursday,5,1,112,2973 COLLIER DR NW,Residence/ Home / Apartment / Condo,13A,Aggravated Assault,PERSON,N,,,Evening Watch,-84.484518,33.763408,Collier Heights,I,10,Part I,1,26b7c015-dd8c-4c35-a284-931477cf8ed1,,,-84.484518,33.763408
122132,231530011,50870108905,6/2/2023 4:36:54 AM,6/2/2023 12:49:00 AM,6/2/2023 4:00:00 AM,Thursday,5,2,211,2400 PARKLAND DR NE,Highway/ Road/ Alley/ Street/ Sidewalk,240,Motor Vehicle Theft,PROPERTY,N,,,Evening Watch,-84.365684,33.819873,Lindbergh/Morosgo,B,6,Part I,,f4387b98-6517-4d4d-b856-c3ef09c03d0d,,,-84.365684,33.819873
122131,231522157,50870125588,6/2/2023 4:43:40 AM,6/2/2023 4:05:00 AM,6/2/2023 4:20:00 AM,Friday,6,5,512,215 FORSYTH ST SW,Parking/ Drop Lot/ Garage,35B,Drug Equipment Violations,SOCIETY,N,,,Morning Watch,-84.396802,33.748925,Downtown,M,4,Part II,,6dba1170-1f6b-496b-9a79-8e82df535e99,,,-84.396802,33.748925
122137,231530030,50870236193,6/2/2023 4:54:06 AM,6/2/2023 4:14:00 AM,6/2/2023 4:33:00 AM,Friday,6,6,602,1572 HARDEE ST NE,Residence/ Home / Apartment / Condo,290,Destruction/Damage/Vandalism of Property,PROPERTY,N,,,Morning Watch,-84.334332,33.756515,Edgewood,O,5,Part II,,34d512a5-03e7-4d2f-9699-c904e1e62367,,,-84.334332,33.756515
122142,231522058,50871279968,6/2/2023 4:54:50 AM,6/2/2023 1:00:00 AM,6/2/2023 2:10:00 AM,Thursday,5,6,601,842 N HIGHLAND AVE NE,Parking/ Drop Lot/ Garage,23F,Theft From Motor Vehicle,PROPERTY,N,,,Evening Watch,-84.352679,33.777502,Virginia Highland,F,6,Part I,,0cfcee90-5e45-4c6f-9114-e63d01809dbf,,,-84.352679,33.777502
122133,231522044,50870294424,6/2/2023 4:56:46 AM,6/2/2023 2:00:00 AM,6/3/2023 2:05:00 AM,Thursday,5,3,309,2685 METROPOLITAN PKWY SW,Grocery/ Supermarket,13A,Aggravated Assault,PERSON,Y,,,Evening Watch,-84.409022,33.682739,Perkerson,X,12,Part I,1,42831620-e477-4691-97f4-94858d79ad6c,,,-84.4090219999999,33.682739
